Id,SalePrice
1461,123152.89709863524
1462,153990.67314252714
1463,188490.22504148344
1464,185990.39381006817
1465,193617.6468258844
1466,177724.81862381558
1467,175454.5804482446
1468,170968.27731922726
1469,175207.21190342764
1470,121926.05049333432
1471,203915.6298986421
1472,95356.64646396498
1473,101756.52051124434
1474,148261.1980691896
1475,134429.33635005812
1476,395496.8541365609
1477,253831.0754073606
1478,297303.6886211381
1479,268751.1965194688
1480,475137.8851166711
1481,335494.779838656
1482,202067.350007628
1483,173841.76949099163
1484,179047.39245966534
1485,166390.3677769051
1486,195089.0478041516
1487,377382.2574597345
1488,233141.37730727057
1489,209328.79730490307
1490,205282.1177102075
1491,188333.4131043301
1492,98924.17069158416
1493,161693.79075363735
1494,283584.5107799516
1495,281344.11645088054
1496,238995.4659257875
1497,195467.0434630261
1498,150739.90413883785
1499,154225.90836075405
1500,148243.73357275585
1501,179590.05986765484
1502,162512.52835253338
1503,301825.5614129052
1504,219942.3758584009
1505,218735.54550895552
1506,178534.29238805632
1507,232318.47268447737
1508,192632.73249587876
1509,164633.5023399339
1510,150503.8175488458
1511,148364.93052492003
1512,170065.60822925429
1513,146819.91176423887
1514,161147.83319578032
1515,181510.04918221096
1516,154808.1412001596
1517,147649.32269773344
1518,129191.31594667296
1519,243775.63208732463
1520,136173.6152297006
1521,142281.70115384916
1522,164272.10892734388
1523,112615.59689626556
1524,128923.37752923826
1525,124116.14860925535
1526,125576.88088331083
1527,109338.87391928297
1528,139646.91293648342
1529,149839.90155420164
1530,183908.1508375154
1531,124320.46393117766
1532,104168.8566037164
1533,151443.72367248396
1534,116183.92866829496
1535,169673.2135711656
1536,113290.59899816374
1537,72628.91332158903
1538,171697.58452329497
1539,222435.3836022363
1540,107038.06772622924
1541,152956.86017159084
1542,158869.96213445524
1543,199632.7951052533
1544,77429.27360067228
1545,92894.56707486969
1546,122778.86120185711
1547,140218.75708589415
1548,136990.7389708505
1549,113858.31181487898
1550,139162.89178953032
1551,122022.78114948134
1552,144042.52756795744
1553,157214.1336739407
1554,111504.85320118528
1555,171674.67547473768
1556,87497.5641404138
1557,125813.0661526666
1558,87500.3427353845
1559,98069.62477884152
1560,134339.4538107858
1561,158365.44761285643
1562,131074.3570092068
1563,124199.19978055816
1564,155838.2050014482
1565,147954.3951450334
1566,256088.1434021936
1567,75934.26964912275
1568,218650.98304376463
1569,150341.86351261
1570,137208.89970216612
1571,140115.43374452452
1572,156780.95455083708
1573,243276.8711892114
1574,114644.77112970212
1575,224301.5514708505
1576,225030.2321706758
1577,202312.0940468655
1578,156122.961672102
1579,138922.27176246504
1580,190226.80363658527
1581,147565.18440559963
1582,131075.43737039427
1583,311213.5134888635
1584,229293.76828077887
1585,143263.52703550915
1586,76192.13625506024
1587,100786.42901334623
1588,153056.8682838426
1589,91692.55302915434
1590,131107.08943757872
1591,103954.22303495268
1592,123862.5271542416
1593,121565.63452253204
1594,141845.32544622282
1595,105679.45246801236
1596,215516.21022806028
1597,173223.97454366545
1598,190676.0845175133
1599,175508.58249530653
1600,180017.77402076582
1601,81867.56969652037
